Date,Engaged views
2024-04-29,0
2024-04-30,0
2024-05-01,0
2024-05-02,0
2024-05-03,0
2024-05-04,0
2024-05-05,0
2024-05-06,0
2024-05-07,0
2024-05-08,0
2024-05-09,0
2024-05-10,0
2024-05-11,0
2024-05-12,0
2024-05-13,0
2024-05-14,1
2024-05-15,2
2024-05-16,0
2024-05-17,4
2024-05-18,0
2024-05-19,2
2024-05-20,2
2024-05-21,5
2024-05-22,1
2024-05-23,85
2024-05-24,8
2024-05-25,6
2024-05-26,6
2024-05-27,5
2024-05-28,8
2024-05-29,2
2024-05-30,15
2024-05-31,17
2024-06-01,11
2024-06-02,18
2024-06-03,5
2024-06-04,21
2024-06-05,2
2024-06-06,11
2024-06-07,2
2024-06-08,11
2024-06-09,6
2024-06-10,11
2024-06-11,6
2024-06-12,28
2024-06-13,25
2024-06-14,1
2024-06-15,13
2024-06-16,8
2024-06-17,4
2024-06-18,1
2024-06-19,1
2024-06-20,4
2024-06-21,11
2024-06-22,7
2024-06-23,6
2024-06-24,1
2024-06-25,4
2024-06-26,0
2024-06-27,0
2024-06-28,1
2024-06-29,1
2024-06-30,1
2024-07-01,0
2024-07-02,0
2024-07-03,0
2024-07-04,0
2024-07-05,1
2024-07-06,0
2024-07-07,0
2024-07-08,0
2024-07-09,1
2024-07-10,0
2024-07-11,0
2024-07-12,0
2024-07-13,0
2024-07-14,2
2024-07-15,5
2024-07-16,1
2024-07-17,4
2024-07-18,2
2024-07-19,1
2024-07-20,1
2024-07-21,0
2024-07-22,3
2024-07-23,6
2024-07-24,11
2024-07-25,1
2024-07-26,0
2024-07-27,2
2024-07-28,0
2024-07-29,0
2024-07-30,0
2024-07-31,0
2024-08-01,0
2024-08-02,0
2024-08-03,0
2024-08-04,1
2024-08-05,36
2024-08-06,7
2024-08-07,2
2024-08-08,0
2024-08-09,0
2024-08-10,0
2024-08-11,0
2024-08-12,0
2024-08-13,0
2024-08-14,0
2024-08-15,0
2024-08-16,0
2024-08-17,20
2024-08-18,21
2024-08-19,33
2024-08-20,277
2024-08-21,1024
2024-08-22,377
2024-08-23,280
2024-08-24,324
2024-08-25,300
2024-08-26,285
2024-08-27,4
2024-08-28,1
2024-08-29,1
2024-08-30,0
2024-08-31,0
2024-09-01,5
2024-09-02,8
2024-09-03,2
2024-09-04,0
2024-09-05,2
2024-09-06,0
2024-09-07,1
2024-09-08,0
2024-09-09,1
2024-09-10,0
2024-09-11,1
2024-09-12,1
2024-09-13,0
2024-09-14,0
2024-09-15,5
2024-09-16,59
2024-09-17,49
2024-09-18,38
2024-09-19,55
2024-09-20,50
2024-09-21,35
2024-09-22,49
2024-09-23,0
2024-09-24,1
2024-09-25,1
2024-09-26,4
2024-09-27,9
2024-09-28,0
2024-09-29,125
2024-09-30,135
2024-10-01,76
2024-10-02,67
2024-10-03,66
2024-10-04,117
2024-10-05,172
2024-10-06,145
2024-10-07,204
2024-10-08,143
2024-10-09,188
2024-10-10,185
2024-10-11,149
2024-10-12,225
2024-10-13,211
2024-10-14,258
2024-10-15,344
2024-10-16,190
2024-10-17,269
2024-10-18,299
2024-10-19,341
2024-10-20,241
2024-10-21,14
2024-10-22,22
2024-10-23,2
2024-10-24,3
2024-10-25,13
2024-10-26,553
2024-10-27,21
2024-10-28,10
2024-10-29,25
2024-10-30,15
2024-10-31,4
2024-11-01,1
2024-11-02,0
2024-11-03,0
2024-11-04,48
2024-11-05,535
2024-11-06,101
2024-11-07,551
2024-11-08,76
2024-11-09,84
2024-11-10,66
2024-11-11,79
2024-11-12,93
2024-11-13,100
2024-11-14,94
2024-11-15,120
2024-11-16,612
2024-11-17,60
2024-11-18,43
2024-11-19,47
2024-11-20,7
2024-11-21,10
2024-11-22,11
2024-11-23,6
2024-11-24,4
2024-11-25,69
2024-11-26,115
2024-11-27,352
2024-11-28,351
2024-11-29,646
2024-11-30,656
2024-12-01,599
